Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed,Push/Pull,Launch Angle,Back Spin,Side Spin,Total Spin,Carry,Total Distance,Offline,Peak Height,Descent Angle,Club Speed,Club Speed at Impact Location,Efficiency,Angle of Attack,Club Path,Face to Target,Lie,Loft,Face Impact Horizontal,Face Impact Vertical,Closure Rate
12,Dr,Driver,5/28/2024 2:04:45 AM,129.7 mph,6.34961223602295° L,15.051643371582°,1796 rpm,1354 L rpm,2249.20703125 rpm,197.5 yds,219.2 yds,75.5 L yds,22.3 yds,32.7285766601563°,-,-,-,-,-,-,-,-,-,-,-
13,Dr,Driver,5/28/2024 2:05:09 AM,140.9 mph,3.65079617500305° R,20.1237182617188°,2850 rpm,534 R rpm,2899.59594726563 rpm,232.6 yds,240.2 yds,38.1 R yds,48.1 yds,48.8381690979004°,-,-,-,-,-,-,-,-,-,-,-
14,Dr,Driver,5/28/2024 2:05:40 AM,143.2 mph,3.42061495780945° L,20.1004390716553°,4048 rpm,465 R rpm,4074.6201171875 rpm,219.9 yds,235.7 yds,2 R yds,52.1 yds,51.9717712402344°,-,-,-,-,-,-,-,-,-,-,-
15,Dr,Driver,5/28/2024 2:06:08 AM,132 mph,9.82922458648682° L,0°,18 rpm,46 L rpm,49.396354675293 rpm,1.9 yds,126.3 yds,22.3 L yds,0 yds,0°,-,-,-,-,-,-,-,-,-,-,-
16,3w,FW,5/28/2024 2:06:42 AM,143.2 mph,3.28435873985291° L,0.354593843221664°,477 rpm,273 L rpm,549.598022460938 rpm,6.9 yds,124.6 yds,7.4 L yds,0 yds,0.599051713943481°,-,-,-,-,-,-,-,-,-,-,-
17,3w,FW,5/28/2024 2:06:59 AM,136.5 mph,2.83521318435669° L,0°,114 rpm,193 L rpm,224.153961181641 rpm,2.7 yds,124.6 yds,6 L yds,0 yds,0°,-,-,-,-,-,-,-,-,-,-,-
18,3w,FW,5/28/2024 2:07:26 AM,145.4 mph,5.40652894973755° R,15.038667678833°,4333 rpm,379 R rpm,4349.54345703125 rpm,220.1 yds,226.6 yds,32.5 R yds,41.1 yds,47.9181823730469°,-,-,-,-,-,-,-,-,-,-,-
19,3w,FW,5/28/2024 2:07:54 AM,138.7 mph,2.59446907043457° R,12.5338687896729°,4389 rpm,873 R rpm,4474.97998046875 rpm,208.6 yds,241.2 yds,38.6 R yds,32.1 yds,5.6586651802063°,-,-,-,-,-,-,-,-,-,-,-
20,3w,FW,5/28/2024 2:08:20 AM,140.9 mph,6.31394338607788° R,9.39034461975098°,3917 rpm,1647 R rpm,4249.17626953125 rpm,205.4 yds,228.6 yds,70.9 R yds,23.2 yds,36.8730087280273°,-,-,-,-,-,-,-,-,-,-,-
21,3w,FW,5/28/2024 2:08:47 AM,132 mph,4.29265594482422° R,20.0874576568604°,2420 rpm,145 R rpm,2424.34008789063 rpm,222.6 yds,242.7 yds,25.4 R yds,41.2 yds,45.3422584533691°,-,-,-,-,-,-,-,-,-,-,-
22,3w,FW,5/28/2024 2:09:12 AM,132 mph,8.70255947113037° R,23.6709308624268°,2385 rpm,556 R rpm,2448.95092773438 rpm,218.3 yds,223.1 yds,56.6 R yds,47.8 yds,49.0048866271973°,-,-,-,-,-,-,-,-,-,-,-
23,3w,FW,5/28/2024 2:09:39 AM,136.5 mph,0.945572793483734° R,16.5741481781006°,3624 rpm,19 L rpm,3624.0498046875 rpm,213.6 yds,221.3 yds,3 R yds,38.6 yds,46.1966094970703°,-,-,-,-,-,-,-,-,-,-,-
24,3w,FW,5/28/2024 2:10:15 AM,136.5 mph,0.987557411193848° R,22.7575130462646°,2752 rpm,737 R rpm,2848.9775390625 rpm,222.9 yds,230 yds,34.2 R yds,50.5 yds,50.3927536010742°,-,-,-,-,-,-,-,-,-,-,-
25,3w,FW,5/28/2024 2:10:40 AM,138.7 mph,3.76839423179626° R,25.7100849151611°,3033 rpm,938 R rpm,3174.73364257813 rpm,216 yds,222.8 yds,49.5 R yds,58 yds,53.8193168640137°,-,-,-,-,-,-,-,-,-,-,-
26,Dr,Driver,5/28/2024 2:11:39 AM,60.4 mph,6.37050104141235° L,6.67683839797974°,0 rpm,0 R rpm,0 rpm,10.5 yds,65.7 yds,7.3 L yds,0.3 yds,6.37685871124268°,-,-,-,-,-,-,-,-,-,-,-
