Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
26,Dr,Driver,06/14/2024 01:57:38,138.7,-1.3,18.1,3649,-79,3650,215.7,231.9,-7.9,43.0,48.3,,,,,,,,,,,
27,Dr,Driver,06/14/2024 01:58:08,127.5,-4.1,20.4,3495,1425,3774,192.8,208.8,26.9,38.8,48.1,,,,,,,,,,,
28,Dr,Driver,06/14/2024 01:59:21,129.7,-0.8,21.8,2641,423,2675,211.5,230.1,15.0,43.1,47.5,,,,,,,,,,,
29,Dr,Driver,06/14/2024 01:59:53,136.5,-1.0,23.2,3524,76,3525,212.6,229.0,1.1,53.7,52.4,,,,,,,,,,,
30,Dr,Driver,06/14/2024 02:00:22,136.5,-5.0,19.3,2367,390,2399,233.5,254.1,-1.7,42.1,45.2,,,,,,,,,,,
31,Dr,Driver,06/14/2024 02:00:51,125.3,-4.3,25.6,3696,-161,3700,186.6,202.0,-20.2,48.6,52.5,,,,,,,,,,,
32,Dr,Driver,06/14/2024 02:01:24,140.9,-6.9,16.6,4306,-400,4325,212.5,227.9,-39.9,41.9,48.6,,,,,,,,,,,
33,Dr,Driver,06/14/2024 02:01:51,127.5,5.0,32.2,1707,645,1825,213.8,230.6,56.2,60.6,53.8,,,,,,,,,,,
34,Dr,Driver,06/14/2024 02:02:12,129.7,2.9,29.6,2466,646,2549,206.6,224.3,40.3,59.2,54.2,,,,,,,,,,,
35,Dr,Driver,06/14/2024 02:02:36,136.5,-6.5,24.2,2574,70,2575,228.4,247.7,-24.8,54.7,51.0,,,,,,,,,,,
36,Dr,Driver,06/14/2024 02:03:27,134.2,-3.7,23.7,2235,420,2274,228.9,249.2,6.4,50.1,49.0,,,,,,,,,,,
37,Dr,Driver,06/14/2024 02:03:52,140.9,-7.9,19.6,3280,-359,3300,223.7,241.1,-47.8,47.1,49.3,,,,,,,,,,,
1,Dr,Driver,06/02/2024 06:36:55,118.6,8.7,29.2,2831,828,2950,180.2,186.0,52.0,48.6,52.8,,,,,,,,,,,
2,Dr,Driver,06/02/2024 06:38:00,136.5,-1.7,23.2,2803,510,2849,221.7,240.3,15.8,51.2,50.5,,,,,,,,,,,
3,Dr,Driver,06/02/2024 06:38:40,136.5,0.4,24.3,2964,988,3124,213.7,231.0,40.8,52.1,51.9,,,,,,,,,,,
4,Dr,Driver,06/02/2024 06:39:14,129.7,-7.9,18.9,3290,-251,3300,206.8,224.5,-40.1,39.0,46.4,,,,,,,,,,,
5,Dr,Driver,06/02/2024 06:39:49,129.7,1.7,26.8,2442,1027,2649,206.1,224.5,50.0,51.0,51.7,,,,,,,,,,,
6,Dr,Driver,06/02/2024 06:40:28,140.9,-4.7,18.4,4530,798,4600,211.6,226.3,5.0,46.2,50.7,,,,,,,,,,,
7,Dr,Driver,06/02/2024 06:41:08,134.2,-4.3,22.0,3731,574,3775,206.9,222.7,2.2,48.7,51.2,,,,,,,,,,,
8,Dr,Driver,06/02/2024 06:41:51,138.7,-0.7,21.5,3871,-170,3875,213.8,229.9,-8.7,51.3,51.5,,,,,,,,,,,
9,Dr,Driver,06/02/2024 06:42:36,138.7,1.7,20.6,3990,1139,4149,208.6,224.3,42.3,47.5,51.2,,,,,,,,,,,
10,Dr,Driver,06/02/2024 06:44:12,127.5,1.5,21.7,3433,1378,3699,192.0,208.2,46.3,40.5,48.9,,,,,,,,,,,
11,3w,FW,06/02/2024 06:45:22,134.2,1.9,20.3,2535,447,2574,222.4,242.1,28.8,42.1,46.1,,,,,,,,,,,
12,3w,FW,06/02/2024 06:46:02,138.7,0.1,16.7,4415,728,4475,208.4,223.3,21.6,40.6,48.2,,,,,,,,,,,
13,3w,FW,06/02/2024 06:47:38,123.0,-6.6,16.9,3048,99,3050,196.6,215.1,-23.1,30.8,41.6,,,,,,,,,,,
14,3w,FW,06/02/2024 06:48:19,127.5,6.7,20.8,2816,787,2924,205.8,222.7,54.0,40.0,46.6,,,,,,,,,,,
15,3w,FW,06/02/2024 06:48:50,120.8,2.3,29.0,5323,-145,5325,163.8,175.6,3.3,51.7,55.6,,,,,,,,,,,
16,3h,Hybrid,06/02/2024 06:51:58,114.1,2.5,17.4,3098,1205,3324,170.4,187.9,37.5,25.0,39.3,,,,,,,,,,,
17,3h,Hybrid,06/02/2024 06:52:18,123.0,-0.7,14.1,5003,-465,5025,179.6,194.1,-13.4,27.7,42.5,,,,,,,,,,,
18,3h,Hybrid,06/02/2024 06:52:43,109.6,-1.7,15.9,2873,-769,2974,163.2,182.0,-26.0,20.7,35.1,,,,,,,,,,,
19,3h,Hybrid,06/02/2024 06:53:07,114.1,3.1,21.3,3067,594,3124,174.7,192.1,26.1,32.2,44.4,,,,,,,,,,,
20,3h,Hybrid,06/02/2024 06:53:32,105.1,2.0,17.4,2915,448,2949,152.1,167.4,14.7,20.4,35.8,,,,,,,,,,,
21,3h,Hybrid,06/02/2024 06:53:54,123.0,-3.4,15.1,914,140,925,186.7,221.3,-7.5,16.1,23.0,,,,,,,,,,,
22,3h,Hybrid,06/02/2024 06:55:04,116.3,3.9,19.6,4638,584,4675,168.2,176.8,22.2,32.3,46.3,,,,,,,,,,,
23,3h,Hybrid,06/02/2024 06:55:41,123.0,3.9,18.3,174,97,199,138.7,189.6,3.4,11.9,19.9,,,,,,,,,,,
24,3h,Hybrid,06/02/2024 06:56:16,116.3,-0.3,19.9,2618,657,2699,182.3,201.7,19.4,30.3,41.8,,,,,,,,,,,
25,4h,Hybrid,06/02/2024 06:57:46,111.8,4.0,17.0,2499,-879,2649,169.1,188.3,-13.6,22.4,35.9,,,,,,,,,,,
26,4h,Hybrid,06/02/2024 06:58:05,111.8,4.9,18.0,2649,28,2649,172.2,191.0,15.9,24.9,38.1,,,,,,,,,,,
27,4h,Hybrid,06/02/2024 06:58:28,129.7,0.7,17.7,5218,256,5224,188.0,201.2,7.0,37.9,48.5,,,,,,,,,,,
28,4h,Hybrid,06/02/2024 07:00:13,116.3,4.1,14.3,3942,-1125,4099,169.2,184.9,-12.1,22.6,37.9,,,,,,,,,,,
29,4h,Hybrid,06/02/2024 07:01:09,123.0,-4.4,5.5,2929,-1464,3274,143.7,169.2,-41.2,6.7,15.9,,,,,,,,,,,
30,4h,Hybrid,06/02/2024 07:01:54,127.5,-0.9,14.9,3211,-860,3324,199.2,217.0,-32.8,28.6,40.2,,,,,,,,,,,
31,4h,Hybrid,06/02/2024 07:02:27,105.1,3.0,18.7,3083,1103,3274,153.4,170.4,31.7,22.8,38.5,,,,,,,,,,,
32,4h,Hybrid,06/02/2024 07:02:45,116.3,-0.7,15.1,1993,-2105,2899,151.8,168.5,-47.5,15.8,29.3,,,,,,,,,,,
33,5h,Hybrid,06/02/2024 07:03:53,120.8,3.8,21.4,3157,957,3299,187.0,204.2,41.4,36.7,46.6,,,,,,,,,,,
34,5h,Hybrid,06/02/2024 07:04:20,114.1,5.5,24.6,3461,787,3549,169.5,185.4,36.6,37.8,48.8,,,,,,,,,,,
35,5h,Hybrid,06/02/2024 07:04:45,127.5,-1.2,17.0,3447,-434,3474,197.8,215.3,-19.7,33.2,43.7,,,,,,,,,,,
36,5h,Hybrid,06/02/2024 07:05:25,105.1,1.1,16.5,2520,-1847,3124,142.2,161.7,-34.1,16.7,32.2,,,,,,,,,,,
37,5h,Hybrid,06/02/2024 07:05:54,127.5,-1.4,17.7,3471,-152,3474,197.7,214.9,-11.6,34.6,44.5,,,,,,,,,,,
38,5h,Hybrid,06/02/2024 07:06:24,111.8,-1.1,19.7,4280,903,4374,160.8,175.8,13.1,29.1,44.5,,,,,,,,,,,
