Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
98,4h,Hybrid,6/2/2024 7:50,132,-3.7,19.2,4265,-1268,4449,196.6,211.8,-47.8,40.7,49.2,97.77777778,95.82222222,,14.2,-4.44,-3.7,22,22.70454545
99,4h,Hybrid,6/2/2024 7:50,127.5,1.7,24.2,5016,-578,5049,182.7,195.8,-7.3,49,53.4,94.44444444,92.55555556,,19.2,2.04,1.7,22,34.80784314
100,4h,Hybrid,6/2/2024 7:51,127.5,3.9,22,4911,-619,4950,186.2,199.6,-0.5,45.2,51.8,94.44444444,92.55555556,,17,4.68,3.9,22,33.6627451
101,4h,Hybrid,6/2/2024 7:52,125.3,0.8,16.2,5205,685,5250,180.2,193.7,17,32,45.6,92.81481481,90.95851852,,11.2,0.96,0.8,22,47.00718276
102,4h,Hybrid,6/2/2024 7:52,125.3,3.2,25.7,4755,652,4799,178.8,192.2,25.7,49.7,53.9,92.81481481,90.95851852,,20.7,3.84,3.2,22,43.15243416
103,4h,Hybrid,6/2/2024 7:52,118.6,0.2,20.7,3528,-2413,4274,169.6,180.6,-48.7,31.2,45.6,87.85185185,86.09481481,,15.7,0.24,0.2,22,9.401349073
104,5h,Hybrid,6/2/2024 7:54,114.1,-0.7,23.1,2705,-615,2774,178.2,196.1,-21.8,34.9,45.6,84.51851852,82.82814815,,18.1,-0.84,-0.7,25,18.31726556
105,5h,Hybrid,6/2/2024 7:54,125.3,1.4,26.9,1673,-64,1674,220.3,242.6,2.1,48.6,47.8,92.81481481,90.95851852,,21.9,1.68,1.4,25,12.84118117
106,5h,Hybrid,6/2/2024 7:55,123,7.1,23.9,2172,960,2375,199.6,207.3,62,40.3,46.6,91.11111111,89.28888889,,18.9,8.52,7.1,25,25.46341463
107,5h,Hybrid,6/2/2024 7:56,129.7,-4.2,15.9,4770,-208,4775,191.5,206.4,-20.4,34.2,46,96.07407407,94.15259259,,10.9,-5.04,-4.2,25,35.17347726
108,5h,Hybrid,6/2/2024 7:56,120.8,-5.2,12.5,3536,-309,3549,181.8,199.6,-26.4,21.7,35.6,89.48148148,87.69185185,,7.5,-6.24,-5.2,25,26.71357616
109,5h,Hybrid,6/2/2024 7:56,127.5,4.3,12.2,5478,-481,5499,181.8,195.1,5.4,26.4,41.7,94.44444444,92.55555556,,7.2,5.16,4.3,25,39.19215686
110,5h,Hybrid,6/2/2024 7:57,114.1,4.6,25.3,5090,929,5174,158.9,171.4,30.3,40.1,51.7,84.51851852,82.82814815,,20.3,5.52,4.6,25,52.75197195
111,5h,Hybrid,6/2/2024 7:59,114.1,-0.8,24.8,5575,-518,5599,159.4,171.3,-11,40.5,51.9,84.51851852,82.82814815,,19.8,-0.96,-0.8,25,44.32077125
112,5h,Hybrid,6/2/2024 7:59,111.8,3.8,21.1,5700,750,5749,155.1,167.1,22.7,32.3,47.9,82.81481481,81.15851852,,16.1,4.56,3.8,25,57.69230769
113,5h,Hybrid,6/2/2024 7:59,123,0.1,19.6,6374,-34,6374,172.4,183.9,-0.3,38.3,50.1,91.11111111,89.28888889,,14.6,0.12,0.1,25,51.54471545
114,5h,Hybrid,6/2/2024 8:00,127.5,1.8,19.3,5063,-610,5100,185.2,198.6,-7.2,39.4,49.4,94.44444444,92.55555556,,14.3,2.16,1.8,25,34.9254902
115,5h,Hybrid,6/2/2024 8:00,114.1,3.2,20.6,3172,-121,3174,174,191.4,7.6,31.3,43.8,84.51851852,82.82814815,,15.6,3.84,3.2,25,26.73970202
116,5h,Hybrid,6/2/2024 8:00,127.5,-1.3,16.9,5141,-1287,5300,183.8,197.7,-31.7,34.4,47,94.44444444,92.55555556,,11.9,-1.56,-1.3,25,30.22745098
117,5h,Hybrid,6/2/2024 8:01,114.1,-1.5,20.4,3596,-453,3624,172.6,188.8,-16.5,32,44.9,84.51851852,82.82814815,,15.4,-1.8,-1.5,25,27.54601227
118,5w,FW,6/2/2024 8:02,118.6,-7.2,27.3,3594,-1755,4000,171.3,176.5,-59.5,44.5,52.8,81.79310345,80.15724138,,20.3,-8.64,-7.2,19,15.50590219
119,5w,FW,6/2/2024 8:02,125.3,2.4,24.8,3099,-1570,3474,187.1,204.4,-39.1,43.3,50.7,86.4137931,84.68551724,,17.8,2.88,2.4,19,12.20271349
120,5w,FW,6/2/2024 8:03,129.7,-6.1,20.8,2621,-1878,3224,196.4,203.5,-76.1,36.2,45.9,89.44827586,87.65931034,,13.8,-7.32,-6.1,19,5.728604472
121,5w,FW,6/2/2024 8:03,136.5,1.1,16.5,4668,254,4675,204.8,219.8,11.5,39.9,48.2,94.13793103,92.25517241,,9.5,1.32,1.1,19,36.05860806
122,5w,FW,6/2/2024 8:03,120.8,3.3,30.6,5671,-185,5674,159.2,170.5,6.8,54.2,56.7,83.31034483,81.64413793,,23.6,3.96,3.3,19,45.41390728
123,5w,FW,6/2/2024 8:04,125.3,-0.3,27.3,4286,-1802,4649,176,189.7,-41.8,49.8,54.8,86.4137931,84.68551724,,20.3,-0.36,-0.3,19,19.82442139
124,5w,FW,6/2/2024 8:04,129.7,-3.5,18.9,5506,694,5550,186.5,199.5,2.4,40.8,50.1,89.44827586,87.65931034,,11.9,-4.2,-3.5,19,47.80262143
125,5w,FW,6/2/2024 8:05,118.6,-4.8,27.9,4360,-1946,4775,164.7,169.5,-49.1,45.8,54.2,81.79310345,80.15724138,,20.9,-5.76,-4.8,19,20.35413153
126,5w,FW,6/2/2024 8:06,134.2,1.9,24.8,4790,577,4825,191.7,205.3,21.8,54.4,54.5,92.55172414,90.70068966,,17.8,2.28,1.9,19,39.99254844
127,5w,FW,6/2/2024 8:06,120.8,3.7,29.1,6363,-1198,6475,157,167.5,-7.1,51.1,56.3,83.31034483,81.64413793,,22.1,4.44,3.7,19,42.75662252
128,5w,FW,6/2/2024 8:08,138.7,-1.1,13.5,3747,-122,3749,218.5,235.8,-8.6,33.7,43.3,95.65517241,93.74206897,,6.5,-1.32,-1.1,19,26.13554434
129,5w,FW,6/2/2024 8:09,129.7,1.9,24.4,7149,3589,7999,167.8,171.3,52.5,48,56,89.44827586,87.65931034,,17.4,2.28,1.9,19,82.79105628
130,5w,FW,6/2/2024 8:09,134.2,-4.2,21.9,3070,-986,3224,213.8,230.5,-54.4,46.9,49.9,92.55172414,90.70068966,,14.9,-5.04,-4.2,19,15.5290611
131,5w,FW,6/2/2024 8:10,134.2,0,25.8,5650,0,5650,183.7,196.1,0,56.6,55.6,92.55172414,90.70068966,,18.8,0,0,19,42.10134128
1,3w,FW,6/3/2024 6:23,111.8,-2.5,22.2,2488,-424,2524,173.7,192.5,-22,31.3,43.2,77.10344828,75.56137931,,15.2,-3,-2.5,15,18.46153846
2,3w,FW,6/3/2024 6:24,129.7,0.3,19.9,2490,652,2574,214.9,234.8,30.2,39,44.8,89.44827586,87.65931034,,12.9,0.36,0.3,15,24.22513493
3,3w,FW,6/3/2024 6:25,129.7,2.8,26,2080,919,2274,213,232.9,55.8,48.8,49.9,89.44827586,87.65931034,,19,3.36,2.8,15,23.12259059
4,3w,FW,6/3/2024 6:28,136.5,-4,19.6,3539,505,3575,211.6,228.4,2,44.4,49.1,94.13793103,92.25517241,,12.6,-4.8,-4,15,29.62637363
5,3w,FW,6/3/2024 6:29,136.5,-4.4,20.5,3349,18,3349,215.4,232.6,-17.4,46.5,49.5,94.13793103,92.25517241,,13.5,-5.28,-4.4,15,24.66666667
6,3w,FW,6/3/2024 6:30,143.2,-5.9,15.7,3439,-1294,3674,219.6,225.9,-64.6,37.5,45.7,98.75862069,96.78344828,,8.7,-7.08,-5.9,15,14.97905028
7,3w,FW,6/3/2024 6:30,127.5,3.7,28.2,2926,766,3025,197.6,214.4,42.2,55.1,53.9,87.93103448,86.17241379,,21.2,4.44,3.7,15,28.95686275
8,3w,FW,6/3/2024 6:31,129.7,-5.4,18.5,2723,-104,2725,213.6,234.4,-26.6,37.3,44.3,89.44827586,87.65931034,,11.5,-6.48,-5.4,15,20.19275251
9,3w,FW,6/3/2024 6:32,134.2,6.1,26.6,3665,1177,3849,197.3,210,58.1,56.2,54.9,92.55172414,90.70068966,,19.6,7.32,6.1,15,36.0804769
10,3w,FW,6/3/2024 6:32,134.2,-1.7,10,4045,1913,4475,189.8,206.2,39.5,21.2,35.9,92.55172414,90.70068966,,3,-2.04,-1.7,15,44.39642325
11,3w,FW,6/3/2024 6:33,132,4.3,28.1,2485,567,2549,213.9,232,43.8,58.6,53.4,91.03448276,89.2137931,,21.1,5.16,4.3,15,23.12121212
12,3w,FW,6/3/2024 6:34,134.2,-7.2,15.4,4271,-491,4299,201.1,216.6,-41.2,35.1,45.7,92.55172414,90.70068966,,8.4,-8.64,-7.2,15,28.16691505
13,3w,FW,6/3/2024 6:34,127.5,6.7,26.4,2866,1532,3250,184.8,197.3,70,48.8,58.1,87.93103448,86.17241379,,19.4,8.04,6.7,15,34.49411765
14,3w,FW,6/3/2024 6:36,129.7,3.8,14.8,4015,1314,4225,191,207.4,47.9,29.7,42.5,89.44827586,87.65931034,,7.8,4.56,3.8,15,41.08712413
15,3w,FW,6/3/2024 6:37,138.7,0.9,15.5,3460,-668,3524,217.9,235.5,-20.7,36.7,44.9,95.65517241,93.74206897,,8.5,1.08,0.9,15,20.1297765
16,3w,FW,6/3/2024 6:38,129.7,6.4,19.4,2314,633,2399,214.7,235.5,55.5,36.7,43.4,89.44827586,87.65931034,,12.4,7.68,6.4,15,22.72166538
17,3w,FW,6/3/2024 6:38,132,-1.8,6.3,1863,370,1899,178.1,209.1,6.5,8.3,15.4,91.03448276,89.2137931,,-0.7,-2.16,-1.8,15,16.91666667
18,3w,FW,6/3/2024 6:38,127.5,10.9,27.7,1861,859,2050,212.2,220.7,84.6,49.7,50.8,87.93103448,86.17241379,,20.7,13.08,10.9,15,21.33333333
19,3w,FW,6/3/2024 6:39,129.7,4.1,22.9,1883,504,1949,225,247,46.1,43.3,45.6,89.44827586,87.65931034,,15.9,4.92,4.1,15,18.40400925
20,3w,FW,6/3/2024 6:40,132,8.7,18.9,2105,792,2249,214,225.2,67.5,35.2,43.3,91.03448276,89.2137931,,11.9,10.44,8.7,15,21.9469697
21,5w,FW,6/3/2024 6:42,132,5.4,23.8,2255,448,2299,220.2,240.4,45.2,47.6,48.5,91.03448276,89.2137931,,16.8,6.48,5.4,19,20.47727273
22,5w,FW,6/3/2024 6:44,129.7,-3.3,19.1,2890,-445,2924,210.2,228.6,-30.9,38.6,45.6,89.44827586,87.65931034,,12.1,-3.96,-3.3,19,18.85119507
23,5w,FW,6/3/2024 6:45,127.5,-9.9,16.6,3463,-2050,4024,183.5,189.4,-77.1,28.7,42.4,87.93103448,86.17241379,,9.6,-11.88,-9.9,19,11.08235294
24,5w,FW,6/3/2024 6:46,125.3,7,28,2269,374,2300,204.2,222.8,44.3,52,51.5,86.4137931,84.68551724,,21,8.4,7,19,21.0933759
25,5w,FW,6/3/2024 6:47,120.8,1.5,29,422,389,574,214.4,247.3,33.8,36.5,38.9,83.31034483,81.64413793,,22,1.8,1.5,19,6.713576159
26,5w,FW,6/3/2024 6:49,129.7,-3.3,26,3498,-735,3574,195.7,211.4,-36.1,52.8,53.4,89.44827586,87.65931034,,19,-3.96,-3.3,19,21.30300694
27,4h,Hybrid,6/3/2024 6:50,129.7,-2.5,18.1,3110,-1175,3325,198.9,216.8,-48.5,34.3,44.5,96.07407407,94.15259259,,13.1,-3,-2.5,22,14.91904395
28,4h,Hybrid,6/3/2024 6:50,118.6,6.4,27.6,3474,-56,3474,176.5,191.8,19.9,47.6,52.7,87.85185185,86.09481481,,22.6,7.68,6.4,22,28.81956155
29,4h,Hybrid,6/3/2024 6:50,118.6,5.2,18.9,3696,-631,3749,179.6,195.9,1.5,32.3,44.8,87.85185185,86.09481481,,13.9,6.24,5.2,22,25.84317032
30,4h,Hybrid,6/3/2024 6:51,102.9,3.9,15.3,1259,-612,1400,142.3,169.5,-7.7,13,24.3,76.22222222,74.69777778,,10.3,4.68,3.9,22,6.28765792
31,4h,Hybrid,6/3/2024 6:51,118.6,3.7,22.1,552,645,849,187.7,220.8,50.4,23.9,31.4,87.85185185,86.09481481,,17.1,4.44,3.7,22,10.09274874
32,4h,Hybrid,6/3/2024 6:52,116.3,1.8,17.1,1292,-469,1374,182.6,209.7,-15.5,20.3,29.5,86.14814815,84.42518519,,12.1,2.16,1.8,22,7.076526225
33,4h,Hybrid,6/3/2024 6:54,111.8,5.2,18.2,3097,-135,3100,171.4,188.6,13.5,26.8,40.5,82.81481481,81.15851852,,13.2,6.24,5.2,22,26.49373882
34,4h,Hybrid,6/3/2024 6:55,111.8,-3.4,13.6,2876,-2037,3524,148.3,167.9,-48.7,15.4,30.3,82.81481481,81.15851852,,8.6,-4.08,-3.4,22,7.504472272
35,4h,Hybrid,6/3/2024 6:56,129.7,0.7,20.3,3623,-98,3624,200.1,213,-0.3,42,48.7,96.07407407,94.15259259,,15.3,0.84,0.7,22,27.17810332
36,4h,Hybrid,6/3/2024 6:57,123,6.4,23.2,2299,-25,2299,206.4,226.2,24.1,42,46.7,91.11111111,89.28888889,,18.2,7.68,6.4,22,18.48780488
37,5h,Hybrid,6/3/2024 7:00,123,-1.9,20.1,2296,-696,2399,198.4,218.8,-35.8,33.5,42.5,91.11111111,89.28888889,,15.1,-2.28,-1.9,25,13.00813008
38,5h,Hybrid,6/3/2024 7:00,102.9,9.8,21.6,2643,406,2674,154,171.6,39.8,25.6,40.6,76.22222222,74.69777778,,16.6,11.76,9.8,25,29.63070943
39,5h,Hybrid,6/3/2024 7:01,102.9,9.2,22.4,2314,409,2350,157.8,176.9,40.2,26.7,40.5,76.22222222,74.69777778,,17.4,11.04,9.2,25,26.46258503
40,5h,Hybrid,6/3/2024 7:02,123,-2.8,18.1,2260,-878,2425,195.1,216.3,-45,29,39.5,91.11111111,89.28888889,,13.1,-3.36,-2.8,25,11.23577236
41,5h,Hybrid,6/3/2024 7:02,127.5,6.9,21.5,2316,395,2349,214.2,234.3,46.9,40.9,45.7,94.44444444,92.55555556,,16.5,8.28,6.9,25,21.2627451
42,5h,Hybrid,6/3/2024 7:02,120.8,4.5,19.8,5068,-249,5074,172.6,186,9.7,35.7,48,89.48148148,87.69185185,,14.8,5.4,4.5,25,39.89238411
43,5h,Hybrid,6/3/2024 7:03,111.8,12,26.8,1839,201,1850,187,207.5,52.1,39.6,46.2,82.81481481,81.15851852,,21.8,14.4,12,25,18.24686941
44,5h,Hybrid,6/3/2024 7:04,116.3,4.2,22.4,3236,300,3250,176.7,193.5,22.9,35.9,46.8,86.14814815,84.42518519,,17.4,5.04,4.2,25,30.40412726
45,5h,Hybrid,6/3/2024 7:04,123,-6.9,26.8,2620,-986,2799,190.7,208.3,-60.6,46.8,51.2,91.11111111,89.28888889,,21.8,-8.28,-6.9,25,13.28455285
46,5h,Hybrid,6/3/2024 7:06,118.6,-0.3,16.8,3394,-1869,3875,170.3,186.7,-43.7,25.3,40.3,87.85185185,86.09481481,,11.8,-0.36,-0.3,25,12.85834739
47,Dr,Driver,6/3/2024 7:07,136.5,0.5,18,3883,361,3900,211.6,227.4,14,42.6,48.5,88.06451613,86.30322581,,6,0.6,0.5,10.5,31.09157509
48,Dr,Driver,6/3/2024 7:08,134.2,-1.6,18,3474,-1033,3624,209,226,-41.4,39.3,47.1,86.58064516,84.84903226,,6,-1.92,-1.6,10.5,18.18926975
49,Dr,Driver,6/3/2024 7:09,127.5,-7.7,14.3,4321,497,4349,189.1,204.6,-15.2,29.3,42.7,82.25806452,80.61290323,,2.3,-9.24,-7.7,10.5,37.78823529
50,Dr,Driver,6/3/2024 7:10,127.5,1.9,25.8,2519,529,2574,204.8,222.7,30.2,49,50.6,82.25806452,80.61290323,,13.8,2.28,1.9,10.5,23.90588235
51,Dr,Driver,6/3/2024 7:10,127.5,-4,20,3415,-489,3450,197.7,214.7,-30.9,39.3,47.4,82.25806452,80.61290323,,8,-4.8,-4,10.5,22.94901961
52,Dr,Driver,6/3/2024 7:11,118.6,-10.7,14.5,1232,-211,1250,182.8,212.6,-49.6,16.5,24.8,76.51612903,74.98580645,,2.5,-12.84,-10.7,10.5,8.608768971
53,Dr,Driver,6/3/2024 7:12,123,-1.8,27.3,304,-218,374,208.1,247.6,-14.7,30.6,34.1,79.35483871,77.76774194,,15.3,-2.16,-1.8,10.5,0.699186992
54,Dr,Driver,6/3/2024 7:13,120.8,-1,19.7,4163,1343,4374,174.9,189.9,27.3,33.7,46.8,77.93548387,76.37677419,,7.7,-1.2,-1,10.5,45.5794702
55,Dr,Driver,6/3/2024 7:14,136.5,-1.1,14.7,1912,-1976,2750,197,212.5,-67.7,22.5,33.5,88.06451613,86.30322581,,2.7,-1.32,-1.1,10.5,-0.468864469
56,Dr,Driver,6/3/2024 7:14,132,-1.7,12.8,1262,-898,1549,191.8,223.8,-46.8,15.7,23.7,85.16129032,83.45806452,,0.8,-2.04,-1.7,10.5,2.757575758
57,Dr,Driver,6/3/2024 7:15,129.7,6.6,28.6,2248,347,2275,215,234.2,44.6,57.9,52.8,83.67741935,82.00387097,,16.6,7.92,6.6,10.5,20.0077101
58,Dr,Driver,6/3/2024 7:16,129.7,1.3,26.9,1886,494,1950,222.5,243.5,34,52.1,49.9,83.67741935,82.00387097,,14.9,1.56,1.3,10.5,18.35003855
59,Dr,Driver,6/3/2024 7:16,125.3,5.7,28.6,1217,522,1324,223.7,248,60.8,48.3,47.1,80.83870968,79.22193548,,16.6,6.84,5.7,10.5,13.87869114
60,Dr,Driver,6/3/2024 7:17,132,2.3,23.9,2893,575,2950,209.3,226.6,32.4,49.3,50.7,85.16129032,83.45806452,,11.9,2.76,2.3,10.5,26.27272727
61,Dr,Driver,6/3/2024 7:17,136.5,-1.7,19.6,3391,240,3399,215.2,231.1,2,44.7,48.8,88.06451613,86.30322581,,7.6,-2.04,-1.7,10.5,26.6007326
62,Dr,Driver,6/3/2024 7:19,127.5,-0.6,26.3,2367,524,2424,210.5,229.4,22,51.1,50.8,82.25806452,80.61290323,,14.3,-0.72,-0.6,10.5,22.6745098
63,Dr,Driver,6/3/2024 7:19,123,4.8,26.8,2455,586,2524,199.4,217.7,42.5,48.9,50.9,79.35483871,77.76774194,,14.8,5.76,4.8,10.5,24.72357724
64,Dr,Driver,6/3/2024 7:21,125.3,2.4,24.7,3996,1290,4199,181.7,196.2,41,45.8,52.4,80.83870968,79.22193548,,12.7,2.88,2.4,10.5,42.1867518
65,5w,FW,6/3/2024 7:22,123,-2.2,28.7,3021,415,3049,188.1,204.4,6.2,52.9,53.6,84.82758621,83.13103448,,21.7,-2.64,-2.2,19,27.93495935
66,5w,FW,6/3/2024 7:23,116.3,2,28.1,2055,282,2074,188,207.6,19.5,44.1,49,80.20689655,78.60275862,,21.1,2.4,2,19,20.09458298
67,5w,FW,6/3/2024 7:24,125.3,5.3,18.1,2525,0,2525,205.9,226.1,21.2,33.2,41.8,86.4137931,84.68551724,,11.1,6.36,5.3,19,20.15163607
68,5w,FW,6/3/2024 7:24,123,0.4,16.6,2996,147,3000,195.1,214.1,6.5,29.9,41.1,84.82758621,83.13103448,,9.6,0.48,0.4,19,25.55284553
69,5w,FW,6/3/2024 7:25,127.5,0.2,16,3436,985,3574,192.4,210.2,30.2,30.1,42.2,87.93103448,86.17241379,,9,0.24,0.2,19,34.6745098
70,5w,FW,6/3/2024 7:26,125.3,-1.7,16,3105,-868,3224,195.5,214.2,-34.9,29.5,41.1,86.4137931,84.68551724,,9,-2.04,-1.7,19,17.85315243
71,5w,FW,6/3/2024 7:26,118.6,7.6,35,2272,490,2324,181.2,198.6,45.7,59.6,56.1,81.79310345,80.15724138,,28,9.12,7.6,19,23.28836425
72,5w,FW,6/3/2024 7:27,132,-4.2,7.3,2365,206,2374,191.9,217.4,-8.6,12.3,21.9,91.03448276,89.2137931,,0.3,-5.04,-4.2,19,19.47727273
73,5w,FW,6/3/2024 7:28,127.5,1.8,18.7,2853,519,2900,202.2,221.4,26.4,35.1,44,87.93103448,86.17241379,,11.7,2.16,1.8,19,26.44705882
74,5w,FW,6/3/2024 7:28,125.3,2.2,18,2019,154,2025,210.5,233.3,16.6,30.8,38.8,86.4137931,84.68551724,,11,2.64,2.2,19,17.34237829
75,5w,FW,6/3/2024 7:28,134.2,-0.5,13.8,4156,-756,4224,201.4,217.4,-23.2,31.5,43.4,92.55172414,90.70068966,,6.8,-0.6,-0.5,19,25.33532042
76,5w,FW,6/3/2024 7:28,125.3,2.1,13.7,4788,1603,5049,177.1,191,39.1,25.9,41.5,86.4137931,84.68551724,,6.7,2.52,2.1,19,51.00558659
77,3w,FW,6/3/2024 7:30,125.3,2,24.9,3442,476,3475,191,206.7,22.2,47.6,51.7,86.4137931,84.68551724,,17.9,2.4,2,15,31.26895451
78,3w,FW,6/3/2024 7:30,129.7,3.4,16.3,2584,587,2650,208.7,229.2,37.6,30.8,40.3,89.44827586,87.65931034,,9.3,4.08,3.4,15,24.44872783
79,3w,FW,6/3/2024 7:31,136.5,-2.5,8.9,2869,785,2974,203.1,224.4,17.5,18.1,29.8,94.13793103,92.25517241,,1.9,-3,-2.5,15,26.76923077
80,3w,FW,6/3/2024 7:32,129.7,7.2,18.9,1730,494,1799,225.7,249.5,59.7,33.8,39.3,89.44827586,87.65931034,,11.9,8.64,7.2,15,17.14726291
81,3w,FW,6/3/2024 7:33,127.5,3.5,16.2,2901,760,2999,199.5,218.2,39.9,29.9,40.8,87.93103448,86.17241379,,9.2,4.2,3.5,15,28.71372549
82,3w,FW,6/3/2024 7:34,132,3.2,20.5,3574,-58,3574,204,222.3,10.5,43.6,49.1,91.03448276,89.2137931,,13.5,3.84,3.2,15,26.63636364
83,3w,FW,6/3/2024 7:36,129.7,0.7,24.2,2312,420,2350,217.6,237.3,23.4,48.2,49,89.44827586,87.65931034,,17.2,0.84,0.7,15,21.06399383
84,3w,FW,6/3/2024 7:37,134.2,5.7,26.4,2069,484,2125,228,248.5,52.1,54.9,50.7,92.55172414,90.70068966,,19.4,6.84,5.7,15,19.02384501
85,3w,FW,6/3/2024 7:37,138.7,2.4,15.8,2635,783,2749,225.1,245.1,45,34.2,41.9,95.65517241,93.74206897,,8.8,2.88,2.4,15,24.64311464
86,3w,FW,6/3/2024 7:37,129.7,1.2,25.5,3624,59,3624,197.6,213.5,6.6,53.2,53.2,89.44827586,87.65931034,,18.5,1.44,1.2,15,28.39629915
87,Dr,Driver,6/3/2024 7:40,118.6,8.3,27.6,2135,624,2224,193.7,213,57.4,45.9,49.5,76.51612903,74.98580645,,15.6,9.96,8.3,10.5,23.26306914
88,Dr,Driver,6/3/2024 7:40,125.3,2.1,26.6,3202,895,3325,191,206.9,36.8,50.1,52.8,80.83870968,79.22193548,,14.6,2.52,2.1,10.5,32.69752594
89,Dr,Driver,6/3/2024 7:41,129.7,10.5,29,1559,218,1574,229.6,251.7,60.6,55.6,50,83.67741935,82.00387097,,17,12.6,10.5,10.5,13.70084811
90,Dr,Driver,6/3/2024 7:42,129.7,3.3,23.6,2090,684,2199,217.9,238.1,48.4,44.9,47.4,83.67741935,82.00387097,,11.6,3.96,3.3,10.5,21.38781804
91,Dr,Driver,6/3/2024 7:43,138.7,0.7,19.6,3297,125,3299,223,234.7,7.7,47,49.2,89.48387097,87.69419355,,7.6,0.84,0.7,10.5,24.67195386
92,Dr,Driver,6/3/2024 7:44,125.3,7.5,28.2,1675,286,1699,219.6,241.4,49,51.9,49.5,80.83870968,79.22193548,,16.2,9,7.5,10.5,15.65043895
1,5w,FW,6/6/2024 7:28,114.1,0,15.8,2535,-447,2574,175.3,195.4,-14.2,22.3,35.2,78.68965517,77.11586207,,8.8,0,0,19,18.29973707
2,5w,FW,6/6/2024 7:30,123,0.6,21.9,5140,935,5224,174.9,187.8,21.1,41.1,51.1,84.82758621,83.13103448,,14.9,0.72,0.6,19,49.3902439
3,5w,FW,6/6/2024 7:30,118.6,3,14.1,3757,2336,4424,162.6,174.5,51.2,20.5,36.5,81.79310345,80.15724138,,7.1,3.6,3,19,51.37436762
4,5w,FW,6/6/2024 7:31,116.3,4.1,24.3,5900,1546,6099,156.5,167.9,35.6,39.4,52.1,80.20689655,78.60275862,,17.3,4.92,4.1,19,64.02407567
5,6i,Iron,6/6/2024 7:32,87.2,2.1,18.1,4724,1298,4899,108.9,122.6,16.5,14.4,34.5,69.76,68.3648,,13.1,2.52,2.1,31,69.05963303
6,6i,Iron,6/6/2024 7:33,87.2,2.7,26.1,2968,194,2974,119.1,134.1,9.5,22.4,42.3,69.76,68.3648,,21.1,3.24,2.7,31,36.26146789
7,Dr,Driver,6/6/2024 7:33,125.3,4.5,25.5,5825,2048,6175,167,178.2,48.8,46.8,54.4,80.83870968,79.22193548,,13.5,5.4,4.5,10.5,62.83320032
8,Dr,Driver,6/6/2024 7:34,120.8,7,24.2,4972,1972,5349,168.2,172.6,54.6,42.1,52.6,77.93548387,76.37677419,,12.2,8.4,7,10.5,57.48344371
9,Dr,Driver,6/6/2024 7:34,125.3,2.4,18.7,1872,-543,1949,209.2,232.1,-17.1,30.9,38.8,80.83870968,79.22193548,,6.7,2.88,2.4,10.5,10.60654429
10,Dr,Driver,6/6/2024 7:35,116.3,0.8,23.1,3766,1013,3900,171.4,186.3,27,37.2,48.7,75.03225806,73.5316129,,11.1,0.96,0.8,10.5,41.09200344
11,Dr,Driver,6/6/2024 7:35,129.7,1.6,19.1,4426,656,4474,193.9,208.5,23.1,40.7,48.9,83.67741935,82.00387097,,7.1,1.92,1.6,10.5,39.18272938
12,Dr,Driver,6/6/2024 7:36,116.3,9.5,25.8,3877,2182,4449,163.6,169.8,70.5,39.2,51.7,75.03225806,73.5316129,,13.8,11.4,9.5,10.5,52.09802236
13,Dr,Driver,6/6/2024 7:36,120.8,2.3,24,5976,2799,6599,160.9,170.7,48.2,40.7,53.1,77.93548387,76.37677419,,12,2.76,2.3,10.5,72.64072848
14,Dr,Driver,6/6/2024 7:37,129.7,0.4,20.4,1912,-804,2074,217.3,239.1,-39.2,36.5,42.5,83.67741935,82.00387097,,8.4,0.48,0.4,10.5,8.542791056
15,Dr,Driver,6/6/2024 7:38,109.6,14.6,31.2,3084,1856,3599,151.8,162,78.1,43.2,58,70.70967742,69.29548387,,19.2,17.52,14.6,10.5,45.0729927
16,Dr,Driver,6/6/2024 7:38,116.3,6.4,29.8,2787,1412,3124,173.3,179.3,56.9,46.9,53.3,75.03225806,73.5316129,,17.8,7.68,6.4,10.5,36.10490112
17,Dr,Driver,6/6/2024 7:38,123,3.2,23,5793,2778,6425,164,172.5,51.5,39.9,52.5,79.35483871,77.76774194,,11,3.84,3.2,10.5,69.68292683
18,Dr,Driver,6/6/2024 7:39,129.7,5.1,9.1,3946,1946,4400,176.7,183.1,52.7,16.9,31.6,83.67741935,82.00387097,,-2.9,6.12,5.1,10.5,45.42791056
19,Dr,Driver,6/6/2024 7:40,118.6,7.7,21.7,7564,3593,8374,154.4,158,59.2,36.5,52,76.51612903,74.98580645,,9.7,9.24,7.7,10.5,94.07251265
20,Dr,Driver,6/6/2024 7:40,120.8,6.1,23.9,137,-266,299,185.4,228.3,26.3,22.8,28.8,77.93548387,76.37677419,,11.9,7.32,6.1,10.5,-1.067880795
