Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
74,3w,FW,6/2/2024 7:37,140.9,-1.9,18,3781,-372,3799,220.8,237.4,-22.9,45,48.9,97.17241379,95.22896552,,11,-2.28,-1.9,15,24.19446416
75,3w,FW,6/2/2024 7:37,143.2,-0.7,16.8,4632,-405,4650,213.8,228.9,-16.6,43.9,49.5,98.75862069,96.78344828,,9.8,-0.84,-0.7,15,29.51815642
76,3w,FW,6/2/2024 7:38,136.5,5.2,19.3,3796,995,3924,210.7,227,51.7,44.2,49.5,94.13793103,92.25517241,,12.3,6.24,5.2,15,35.0989011
77,3w,FW,6/2/2024 7:39,123,8.3,17.3,3940,1037,4074,183.9,196.9,52.4,31.4,44.2,84.82758621,83.13103448,,10.3,9.96,8.3,15,40.46341463
78,3w,FW,6/2/2024 7:39,129.7,4.5,26.5,3051,782,3150,200.2,217.2,43.9,52.5,52.8,89.44827586,87.65931034,,19.5,5.4,4.5,15,29.55281419
79,3w,FW,6/2/2024 7:40,138.7,-1.4,15.1,3413,-1143,3599,214.1,232,-46.7,34,43.6,95.65517241,93.74206897,,8.1,-1.68,-1.4,15,16.36625811
80,3w,FW,6/2/2024 7:41,138.7,0.9,16.3,3085,-303,3100,227.5,246.2,-10.6,38.7,44.8,95.65517241,93.74206897,,9.3,1.08,0.9,15,20.05767844
81,3h,Hybrid,6/2/2024 7:42,120.8,-4.2,15.2,2779,-632,2850,186.6,205.6,-36.8,24.4,36.5,89.48148148,87.69185185,,10.2,-5.04,-4.2,19,17.77317881
82,3h,Hybrid,6/2/2024 7:42,109.6,0,17.1,3642,-238,3650,160.3,176.1,-6.3,23.6,39.1,81.18518519,79.56148148,,12.1,0,0,19,31.05839416
83,3h,Hybrid,6/2/2024 7:43,127.5,7,9.7,3807,1650,4149,178.1,184.4,53.7,17.6,32,94.44444444,92.55555556,,4.7,8.4,7,19,42.8
84,3h,Hybrid,6/2/2024 7:43,123,10,10.1,2424,26,2424,182.5,206.1,35.5,15.1,26.1,91.11111111,89.28888889,,5.1,12,10,19,19.91869919
85,3h,Hybrid,6/2/2024 7:44,120.8,-6.2,17.4,3588,-1088,3749,181.8,195.1,-49.8,29.7,42.8,89.48148148,87.69185185,,12.4,-7.44,-6.2,19,20.69536424
86,3h,Hybrid,6/2/2024 7:44,116.3,-3.5,15.8,2942,-1125,3150,171.4,189.9,-42.5,22.5,36.6,86.14814815,84.42518519,,10.8,-4.2,-3.5,19,15.62338779
87,3h,Hybrid,6/2/2024 7:44,107.4,5,15.3,2901,-530,2949,154.9,173.9,1.7,18.4,32.9,79.55555556,77.96444444,,10.3,6,5,19,22.07635009
88,3h,Hybrid,6/2/2024 7:45,120.8,5.3,19.2,89,-178,199,150.7,198.3,31.8,14.1,21.8,89.48148148,87.69185185,,14.2,6.36,5.3,19,-0.736754967
89,3h,Hybrid,6/2/2024 7:45,120.8,4.5,20.2,4306,400,4325,179.6,194.1,23.7,36.5,47.7,89.48148148,87.69185185,,15.2,5.4,4.5,19,38.95695364
90,4h,Hybrid,6/2/2024 7:46,118.6,6,10.5,2465,-2412,3449,144.8,168.1,-27.8,10.9,23.1,87.85185185,86.09481481,,5.5,7.2,6,22,0.44688027
91,4h,Hybrid,6/2/2024 7:46,123,6.2,22.4,2752,349,2774,198.5,217.1,35.4,40.4,47.1,91.11111111,89.28888889,,17.4,7.44,6.2,22,25.21138211
92,4h,Hybrid,6/2/2024 7:47,127.5,-3.5,20.7,2573,-98,2575,211.7,231.4,-19.9,40,45.6,94.44444444,92.55555556,,15.7,-4.2,-3.5,22,19.41176471
93,4h,Hybrid,6/2/2024 7:47,107.4,11.8,14.3,2845,159,2849,156,175.5,38.9,17.4,31.6,79.55555556,77.96444444,,9.3,14.16,11.8,22,27.97020484
94,4h,Hybrid,6/2/2024 7:47,120.8,-0.4,20.4,239,320,399,173.6,215.2,4.6,18,24.9,89.48148148,87.69185185,,15.4,-0.48,-0.4,22,4.627483444
95,4h,Hybrid,6/2/2024 7:49,118.6,-2,22.3,2534,-279,2549,190.2,209.2,-17.5,36.4,45.1,87.85185185,86.09481481,,17.3,-2.4,-2,22,19.01349073
96,4h,Hybrid,6/2/2024 7:49,118.6,-0.2,23.1,2298,-87,2300,196.2,216.4,-4.3,38.2,45.3,87.85185185,86.09481481,,18.1,-0.24,-0.2,22,18.64249578
97,4h,Hybrid,6/2/2024 7:50,125.3,1.3,22.7,3408,-335,3424,196.3,212.7,-5.9,44.2,49.7,92.81481481,90.95851852,,17.7,1.56,1.3,22,24.52513966
98,4h,Hybrid,6/2/2024 7:50,132,-3.7,19.2,4265,-1268,4449,196.6,211.8,-47.8,40.7,49.2,97.77777778,95.82222222,,14.2,-4.44,-3.7,22,22.70454545
99,4h,Hybrid,6/2/2024 7:50,127.5,1.7,24.2,5016,-578,5049,182.7,195.8,-7.3,49,53.4,94.44444444,92.55555556,,19.2,2.04,1.7,22,34.80784314
100,4h,Hybrid,6/2/2024 7:51,127.5,3.9,22,4911,-619,4950,186.2,199.6,-0.5,45.2,51.8,94.44444444,92.55555556,,17,4.68,3.9,22,33.6627451
