,Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec),ï»¿Shot Number
960,14.0,LW,Wedge,09/09/2024 07:28:26,42.6,6.2,51.6,1124,31,1124,34.8,41.2,4.5,12.3,55.5,,,,,,,,,,,,
961,15.0,LW,Wedge,09/09/2024 07:29:08,43.1,10.0,53.5,1315,158,1324,34.3,40.2,7.3,13.2,57.6,,,,,,,,,,,,
962,16.0,LW,Wedge,09/09/2024 07:29:09,49.4,5.9,54.6,1899,10,1899,41.6,45.1,4.6,17.7,59.9,,,,,,,,,,,,
963,17.0,LW,Wedge,09/09/2024 07:29:30,53.3,-1.7,44.3,2581,-312,2600,52.9,58.3,-2.9,15.9,51.7,,,,,,,,,,,,
964,18.0,LW,Wedge,09/09/2024 07:29:31,48.8,5.4,48.1,1616,168,1625,45.1,51.1,5.4,14.8,53.6,,,,,,,,,,,,
965,19.0,LW,Wedge,09/09/2024 07:29:52,51.4,2.2,52.6,1849,-30,1849,46.0,50.5,1.8,18.3,58.4,,,,,,,,,,,,
966,20.0,LW,Wedge,09/09/2024 07:30:14,49.7,4.5,47.6,2174,11,2174,46.0,51.0,4.0,15.1,53.8,,,,,,,,,,,,
967,21.0,LW,Wedge,09/09/2024 07:30:35,50.9,3.7,53.3,1972,96,1974,44.7,48.7,3.5,18.2,59.0,,,,,,,,,,,,
968,22.0,LW,Wedge,09/09/2024 07:31:00,56.3,1.5,50.5,2139,-210,2149,54.6,59.5,0.6,20.9,57.6,,,,,,,,,,,,
969,23.0,LW,Wedge,09/09/2024 07:31:43,66.3,10.2,20.7,6655,2812,7225,68.3,78.3,22.0,8.6,30.9,,,,,,,,,,,,
970,24.0,LW,Wedge,09/09/2024 07:31:43,48.9,5.6,52.9,1363,179,1375,43.1,48.2,5.4,16.7,57.8,,,,,,,,,,,,
971,25.0,LW,Wedge,09/09/2024 07:31:44,49.8,3.4,52.6,1622,97,1625,44.2,49.0,3.2,17.2,57.9,,,,,,,,,,,,
972,26.0,LW,Wedge,09/09/2024 07:32:48,62.9,-0.1,39.3,9023,-147,9024,65.4,68.6,-0.5,19.5,52.5,,,,,,,,,,,,
973,27.0,LW,Wedge,09/09/2024 07:34:13,53.0,-2.4,48.9,2274,37,2274,50.4,55.2,-2.2,17.8,55.7,,,,,,,,,,,,
974,28.0,LW,Wedge,09/09/2024 07:34:13,53.4,4.8,51.8,1499,16,1499,50.6,55.3,4.7,19.5,57.7,,,,,,,,,,,,
975,29.0,GW,Wedge,09/09/2024 07:34:35,70.5,2.6,42.3,2746,-135,2749,83.6,89.3,3.0,26.5,53.6,,,,,,,,,,,,
976,30.0,LW,Wedge,09/09/2024 07:34:35,52.4,7.5,56.4,1546,110,1550,44.9,49.1,6.8,20.6,61.7,,,,,,,,,,,,
977,31.0,GW,Wedge,09/09/2024 07:35:49,65.9,3.3,33.3,8546,233,8549,73.0,77.7,5.2,17.5,47.3,,,,,,,,,,,,
978,32.0,GW,Wedge,09/09/2024 07:36:10,69.3,5.0,42.0,2219,157,2225,83.5,90.5,9.3,25.3,52.4,,,,,,,,,,,,
979,33.0,GW,Wedge,09/09/2024 07:36:32,63.5,2.6,38.1,2745,-164,2750,73.0,84.8,2.7,18.7,48.0,,,,,,,,,,,,
980,34.0,GW,Wedge,09/09/2024 07:36:53,64.3,8.7,46.6,1471,104,1475,73.7,84.1,13.8,24.8,54.6,,,,,,,,,,,,
981,35.0,GW,Wedge,09/09/2024 07:39:00,69.6,-3.6,32.5,6186,-407,6199,81.2,88.7,-7.4,18.8,46.5,,,,,,,,,,,,
982,36.0,GW,Wedge,09/09/2024 07:39:43,73.2,1.3,44.1,2174,11,2174,89.0,102.1,2.5,30.1,55.0,,,,,,,,,,,,
983,37.0,GW,Wedge,09/09/2024 07:39:43,74.4,6.0,43.3,2174,23,2174,92.1,100.8,10.8,30.4,54.5,,,,,,,,,,,,
984,38.0,GW,Wedge,09/09/2024 07:39:44,67.3,8.4,46.2,2036,234,2049,77.0,86.6,14.7,26.9,55.6,,,,,,,,,,,,
985,39.0,GW,Wedge,09/09/2024 07:39:44,67.4,7.2,43.7,2348,76,2349,78.3,90.6,12.1,25.2,53.8,,,,,,,,,,,,
986,40.0,GW,Wedge,09/09/2024 07:39:45,68.8,6.6,43.2,1722,84,1724,83.8,91.8,11.5,25.8,52.7,,,,,,,,,,,,
987,41.0,GW,Wedge,09/09/2024 07:39:45,64.2,8.6,47.6,2015,494,2075,70.2,79.5,15.7,25.2,56.3,,,,,,,,,,,,
988,42.0,GW,Wedge,09/09/2024 07:39:45,71.9,5.0,39.6,6513,393,6525,81.1,86.8,9.3,25.7,53.8,,,,,,,,,,,,
989,43.0,GW,Wedge,09/09/2024 07:40:07,66.7,2.9,40.5,3323,108,3325,76.7,87.8,5.1,22.5,51.7,,,,,,,,,,,,
990,44.0,GW,Wedge,09/09/2024 07:41:12,76.5,-1.6,32.2,7900,0,7900,91.7,92.9,-2.5,23.1,49.2,,,,,,,,,,,,
991,45.0,GW,Wedge,09/09/2024 07:41:12,74.9,2.0,44.3,1994,153,2000,92.8,99.9,5.3,31.6,55.2,,,,,,,,,,,,
992,46.0,GW,Wedge,09/09/2024 07:42:16,75.2,-0.6,33.0,8548,-139,8549,88.5,93.0,-1.5,23.0,49.9,,,,,,,,,,,,
993,47.0,GW,Wedge,09/09/2024 07:43:19,70.3,1.9,40.3,3894,212,3900,81.9,90.2,4.4,24.9,52.8,,,,,,,,,,,,
994,48.0,GW,Wedge,09/09/2024 07:44:02,69.7,3.0,38.4,4945,541,4975,80.5,87.7,7.3,23.1,51.6,,,,,,,,,,,,
995,49.0,GW,Wedge,09/09/2024 07:44:23,72.9,3.5,43.5,2123,81,2125,89.3,102.7,7.3,29.3,54.4,,,,,,,,,,,,
996,50.0,GW,Wedge,09/09/2024 07:44:24,73.9,-1.3,38.1,3198,-88,3199,91.6,99.1,-3.0,25.8,51.1,,,,,,,,,,,,
997,51.0,GW,Wedge,09/09/2024 07:44:24,66.7,4.8,41.2,5279,461,5299,73.4,79.8,8.6,23.0,53.4,,,,,,,,,,,,
998,52.0,GW,Wedge,09/09/2024 07:44:25,72.3,5.0,44.3,2567,196,2574,85.6,96.1,10.3,29.5,55.5,,,,,,,,,,,,
999,53.0,GW,Wedge,09/09/2024 07:44:46,75.0,4.6,42.4,2474,67,2475,92.6,99.3,8.7,30.2,54.3,,,,,,,,,,,,
1000,54.0,PW,Wedge,09/09/2024 07:45:50,80.8,2.2,38.5,1998,-76,1999,110.0,119.2,3.4,31.2,51.2,,,,,,,,,,,,
1001,55.0,PW,Wedge,09/09/2024 07:46:11,72.6,0.0,35.3,2072,-91,2074,94.1,113.1,-1.2,22.3,46.4,,,,,,,,,,,,
1002,56.0,PW,Wedge,09/09/2024 07:46:12,79.5,4.9,35.6,6404,-1111,6500,96.0,102.7,2.3,27.7,52.3,,,,,,,,,,,,
1003,57.0,GW,Wedge,09/09/2024 07:46:12,74.5,1.0,40.0,2624,-14,2624,93.2,101.8,1.6,27.7,52.2,,,,,,,,,,,,
1004,58.0,PW,Wedge,09/09/2024 07:47:15,76.3,-2.0,33.2,2748,-101,2750,99.7,115.7,-5.2,23.0,46.2,,,,,,,,,,,,
1005,59.0,GW,Wedge,09/09/2024 07:47:16,68.8,9.4,47.7,1574,-34,1574,80.4,91.6,14.6,29.2,56.5,,,,,,,,,,,,
1006,60.0,PW,Wedge,09/09/2024 07:47:59,81.0,0.4,34.7,2220,-139,2224,111.6,119.9,-1.3,27.6,48.0,,,,,,,,,,,,
1007,61.0,PW,Wedge,09/09/2024 07:48:20,83.8,0.4,36.7,2592,198,2600,114.0,120.1,3.5,31.8,51.2,,,,,,,,,,,,
1008,62.0,PW,Wedge,09/09/2024 07:49:45,86.8,-2.5,30.0,7399,-40,7399,110.0,112.2,-5.1,27.8,49.9,,,,,,,,,,,,
1009,63.0,PW,Wedge,09/09/2024 07:50:07,78.2,-1.1,32.7,3444,-188,3449,101.5,110.9,-4.1,24.0,47.2,,,,,,,,,,,,
1010,64.0,PW,Wedge,09/09/2024 07:50:07,84.4,3.4,32.9,6743,296,6749,105.5,108.0,8.2,28.9,51.4,,,,,,,,,,,,
1011,65.0,PW,Wedge,09/09/2024 07:50:08,77.9,-0.7,33.1,5456,449,5474,96.5,106.2,1.7,24.5,49.2,,,,,,,,,,,,
1012,66.0,PW,Wedge,09/09/2024 07:50:08,81.8,7.1,38.1,2412,427,2450,109.6,122.5,21.6,31.5,51.8,,,,,,,,,,,,
1013,67.0,PW,Wedge,09/09/2024 07:50:21,82.2,1.3,29.1,7469,-285,7474,102.8,104.9,0.9,23.9,47.8,,,,,,,,,,,,
1014,68.0,PW,Wedge,09/09/2024 07:50:39,78.3,6.7,39.4,3326,567,3374,98.0,107.8,18.2,30.1,53.3,,,,,,,,,,,,
1015,69.0,PW,Wedge,09/09/2024 07:50:59,81.6,-1.1,31.9,3298,-417,3324,108.9,116.4,-6.8,25.4,47.1,,,,,,,,,,,,
1016,70.0,PW,Wedge,09/09/2024 07:51:21,85.9,-0.5,28.9,8074,-88,8074,108.3,109.8,-1.5,26.2,49.1,,,,,,,,,,,,
1017,71.0,PW,Wedge,09/09/2024 07:51:55,82.1,2.2,37.3,2695,-147,2699,109.6,119.3,2.5,31.2,51.6,,,,,,,,,,,,
1018,72.0,PW,Wedge,09/09/2024 07:52:17,77.2,4.5,41.1,1872,319,1899,101.2,113.2,13.8,30.7,52.7,,,,,,,,,,,,
1019,73.0,8i,Iron,09/09/2024 07:54:04,95.3,6.5,33.2,2096,346,2124,144.1,160.3,27.2,36.5,49.4,,,,,,,,,,,,
1020,74.0,8i,Iron,09/09/2024 07:54:35,87.8,3.1,24.0,4743,733,4799,117.2,128.1,14.3,21.1,41.9,,,,,,,,,,,,
1021,75.0,8i,Iron,09/09/2024 07:54:56,95.5,3.3,30.3,2473,506,2524,142.5,157.8,20.7,32.8,47.5,,,,,,,,,,,,
1022,76.0,8i,Iron,09/09/2024 07:55:18,102.5,0.4,23.4,8549,93,8550,136.4,138.1,1.7,30.9,49.0,,,,,,,,,,,,
1023,77.0,8i,Iron,09/09/2024 07:56:04,100.7,-1.5,27.0,4223,92,4224,144.4,156.8,-2.5,33.3,48.5,,,,,,,,,,,,
1024,78.0,8i,Iron,09/09/2024 07:56:04,83.3,1.6,25.2,4563,325,4575,109.1,121.0,6.3,19.9,41.7,,,,,,,,,,,,
1025,79.0,8i,Iron,09/09/2024 07:56:26,105.9,-1.6,22.7,7520,-246,7524,144.2,152.2,-6.8,31.8,48.6,,,,,,,,,,,,
1026,80.0,8i,Iron,09/09/2024 07:57:53,86.5,0.8,22.7,4178,-622,4224,115.2,128.2,-4.9,18.9,39.1,,,,,,,,,,,,
1027,81.0,8i,Iron,09/09/2024 07:58:14,97.7,-1.9,23.9,4829,-450,4850,136.9,143.0,-10.3,27.1,45.1,,,,,,,,,,,,
1028,82.0,8i,Iron,09/09/2024 07:58:36,91.8,-2.4,24.2,4401,-459,4425,126.5,138.2,-11.3,23.7,43.0,,,,,,,,,,,,
1029,83.0,8i,Iron,09/09/2024 07:59:12,98.6,-3.0,24.9,4624,75,4625,139.4,146.8,-6.8,29.1,46.2,,,,,,,,,,,,
1030,84.0,8i,Iron,09/09/2024 07:59:13,94.9,1.4,28.3,3774,-82,3775,134.8,142.9,2.2,30.6,47.6,,,,,,,,,,,,
1031,85.0,8i,Iron,09/09/2024 07:59:34,97.1,-0.2,27.4,4021,-175,4025,138.3,146.0,-3.1,31.1,47.6,,,,,,,,,,,,
1032,86.0,8i,Iron,09/09/2024 08:00:20,99.1,2.1,30.0,2949,-16,2949,147.5,154.4,5.3,35.8,49.0,,,,,,,,,,,,
1033,87.0,8i,Iron,09/09/2024 08:00:20,100.7,-3.0,29.7,2949,-48,2949,150.9,165.5,-9.7,36.6,49.1,,,,,,,,,,,,
1034,88.0,5i,Iron,09/09/2024 08:02:54,106.3,3.0,19.1,5074,83,5075,152.0,166.7,10.1,25.8,42.5,,,,,,,,,,,,
1035,89.0,5i,Iron,09/09/2024 08:03:39,105.4,-3.5,18.4,2573,-84,2574,161.1,178.6,-13.1,22.0,35.6,,,,,,,,,,,,
1036,90.0,5i,Iron,09/09/2024 08:03:39,105.0,4.1,21.2,5631,1028,5724,147.3,158.1,24.5,28.1,45.2,,,,,,,,,,,,
1037,91.0,5i,Iron,09/09/2024 08:04:04,109.3,1.8,19.7,4376,456,4400,160.9,173.9,13.6,28.0,43.1,,,,,,,,,,,,
1038,92.0,5i,Iron,09/09/2024 08:04:27,110.9,-0.9,20.2,4199,68,4200,165.6,177.7,-1.6,30.0,44.0,,,,,,,,,,,,
1039,93.0,5i,Iron,09/09/2024 08:05:10,115.2,-0.3,19.5,6106,469,6124,164.6,169.7,5.8,32.5,46.9,,,,,,,,,,,,
1040,94.0,5i,Iron,09/09/2024 08:05:10,112.4,1.3,19.7,5531,453,5550,161.8,169.4,10.6,30.8,45.7,,,,,,,,,,,,
1041,95.0,5i,Iron,09/09/2024 08:05:54,116.1,1.3,21.1,6202,1240,6325,164.4,174.0,22.0,35.4,48.8,,,,,,,,,,,,
1042,96.0,5i,Iron,09/09/2024 08:06:36,111.1,-0.1,19.2,5556,457,5575,159.4,173.9,6.9,29.2,44.8,,,,,,,,,,,,
1043,97.0,5i,Iron,09/09/2024 08:06:37,106.5,3.8,19.6,3845,900,3949,156.4,172.0,28.4,25.5,41.0,,,,,,,,,,,,
1044,98.0,5i,Iron,09/09/2024 08:06:58,116.5,-3.2,18.2,6146,201,6149,166.8,173.4,-6.9,31.3,45.9,,,,,,,,,,,,
1057,1.0,Dr,Driver,06/08/2024 22:53:21,109.6,3.1,27.0,4561,1411,4774,151.8,164.6,33.7,38.8,51.8,,,,,,,,,,,,
1058,2.0,Dr,Driver,06/08/2024 22:54:13,111.8,4.7,21.9,5388,2805,6074,150.6,159.4,50.5,31.4,48.5,,,,,,,,,,,,
1059,3.0,3w,FW,06/08/2024 22:55:23,109.6,8.8,23.3,440,91,449,170.1,206.0,35.7,21.1,29.3,,,,,,,,,,,,
1060,4.0,3w,FW,06/08/2024 22:56:05,114.1,1.6,24.0,6110,3096,6850,150.2,161.1,44.8,36.1,51.7,,,,,,,,,,,,
1061,5.0,3w,FW,06/08/2024 22:57:07,109.6,2.0,20.5,6064,3545,7024,143.6,154.5,46.0,27.7,46.8,,,,,,,,,,,,
1062,6.0,3w,FW,06/08/2024 22:58:38,123.0,1.3,24.6,5759,3119,6549,164.0,172.7,51.1,43.0,54.1,,,,,,,,,,,,
1063,7.0,3w,FW,06/08/2024 23:00:02,114.1,-3.4,24.9,5497,2276,5950,154.4,165.9,24.7,38.4,52.1,,,,,,,,,,,,
1064,8.0,3w,FW,06/08/2024 23:00:29,114.1,-1.0,27.7,5575,2282,6024,149.7,161.0,30.6,41.7,54.1,,,,,,,,,,,,
1065,9.0,3w,FW,06/08/2024 23:01:04,116.3,-2.9,25.7,5758,3424,6699,150.8,161.9,37.9,38.6,53.2,,,,,,,,,,,,
1066,10.0,3w,FW,06/08/2024 23:01:35,129.7,-0.3,13.9,4437,2759,5225,178.3,189.1,51.0,25.6,41.4,,,,,,,,,,,,
1067,11.0,3w,FW,06/08/2024 23:03:01,116.3,7.2,27.0,6759,4463,8100,147.7,152.8,68.5,41.2,55.7,,,,,,,,,,,,
1068,12.0,3w,FW,06/08/2024 23:03:20,111.8,-0.2,25.2,5022,2242,5500,152.2,164.2,34.6,36.7,51.3,,,,,,,,,,,,
1069,13.0,3w,FW,06/08/2024 23:04:12,125.3,-3.5,21.4,2766,-211,2774,202.0,220.1,-21.8,39.9,46.6,,,,,,,,,,,,
1070,14.0,3w,FW,06/08/2024 23:05:12,125.3,6.0,22.5,4675,2943,5524,170.4,175.7,69.0,38.4,51.3,,,,,,,,,,,,
1071,15.0,3w,FW,06/08/2024 23:06:05,116.3,3.4,25.5,3880,1607,4200,168.3,182.5,46.7,41.0,51.4,,,,,,,,,,,,
1072,16.0,3w,FW,06/08/2024 23:07:37,116.3,6.4,23.1,5354,2356,5849,159.1,163.4,51.9,36.9,50.9,,,,,,,,,,,,
1073,17.0,Dr,Driver,06/08/2024 23:08:43,120.8,-13.4,14.2,3331,1295,3574,174.5,192.0,-12.8,22.3,36.7,,,,,,,,,,,,
1074,18.0,Dr,Driver,06/08/2024 23:09:58,116.3,-1.8,26.3,3481,362,3500,174.9,190.1,3.9,44.0,51.4,,,,,,,,,,,,
1075,19.0,Dr,Driver,06/08/2024 23:10:21,118.6,-2.3,22.5,2837,596,2899,187.3,205.2,12.0,37.7,46.8,,,,,,,,,,,,
1076,20.0,Dr,Driver,06/08/2024 23:10:47,132.0,1.0,19.0,3953,1342,4175,198.0,213.4,41.9,39.8,48.6,,,,,,,,,,,,
1077,21.0,Dr,Driver,06/08/2024 23:12:07,118.6,1.3,15.8,2822,1340,3124,174.3,193.1,40.9,23.1,36.9,,,,,,,,,,,,
1078,22.0,Dr,Driver,06/08/2024 23:12:53,116.3,4.5,16.7,2627,891,2774,179.5,198.5,43.1,24.9,37.7,,,,,,,,,,,,
1079,23.0,Dr,Driver,06/08/2024 23:13:26,116.3,-10.7,14.7,2979,525,3025,175.8,194.4,-21.5,22.3,35.9,,,,,,,,,,,,
1080,24.0,Dr,Driver,06/08/2024 23:15:07,123.0,0.4,19.5,3384,1070,3549,185.3,201.9,32.1,34.1,45.5,,,,,,,,,,,,
1081,25.0,Dr,Driver,06/08/2024 23:16:05,114.1,4.6,17.7,612,-339,700,164.4,199.8,0.5,15.7,24.0,,,,,,,,,,,,
1082,26.0,Dr,Driver,06/08/2024 23:16:34,120.8,0.3,14.4,5207,3317,6174,160.6,171.8,48.6,23.0,40.7,,,,,,,,,,,,
1083,27.0,Dr,Driver,06/08/2024 23:17:03,118.6,2.8,15.2,2536,848,2674,181.3,201.5,37.1,22.5,35.2,,,,,,,,,,,,
1084,28.0,Dr,Driver,06/08/2024 23:19:29,123.0,-1.3,24.8,3538,663,3600,184.4,199.8,14.9,45.0,51.2,,,,,,,,,,,,
1103,47.0,Dr,Driver,06/08/2024 23:35:51,118.6,0.1,24.3,2826,843,2949,184.6,202.1,28.1,40.3,48.5,,,,,,,,,,,,
1104,48.0,Dr,Driver,06/08/2024 23:37:28,123.0,1.4,23.1,2458,282,2474,199.9,219.2,17.1,40.8,46.8,,,,,,,,,,,,
1105,49.0,Dr,Driver,06/08/2024 23:38:32,116.3,-1.2,22.9,2658,468,2699,182.3,200.9,11.6,35.9,45.7,,,,,,,,,,,,
1106,50.0,Dr,Driver,06/08/2024 23:39:01,118.6,2.5,21.9,2160,629,2250,190.9,211.4,34.6,33.9,43.1,,,,,,,,,,,,
1107,51.0,Dr,Driver,06/08/2024 23:39:43,111.8,-0.5,19.7,3479,1868,3949,157.6,173.6,36.4,26.3,42.2,,,,,,,,,,,,
1108,52.0,Dr,Driver,06/08/2024 23:40:56,123.0,-1.4,14.4,2869,685,2950,189.6,208.6,17.2,24.4,36.9,,,,,,,,,,,,
1109,1.0,PW,Wedge,09/20/2024 04:13:55,81.0,-0.7,16.9,5674,-30,5674,95.6,109.2,-1.6,11.0,30.4,,,,,,,,,,,,
1110,2.0,PW,Wedge,09/20/2024 04:15:29,84.8,-0.3,26.2,5194,-919,5275,110.6,121.0,-8.6,22.0,44.0,,,,,,,,,,,,
1111,3.0,PW,Wedge,09/20/2024 04:16:08,81.3,4.4,28.1,5406,-683,5449,103.7,109.3,3.5,21.9,45.2,,,,,,,,,,,,
1112,4.0,PW,Wedge,09/20/2024 04:16:31,79.0,8.4,35.1,3048,100,3050,103.4,115.5,18.1,26.7,49.3,,,,,,,,,,,,
1113,5.0,PW,Wedge,09/20/2024 04:16:57,83.8,1.3,24.8,8025,0,8025,105.5,107.6,2.4,20.7,44.2,,,,,,,,,,,,
1114,6.0,PW,Wedge,09/20/2024 04:17:21,82.1,8.1,34.7,2787,260,2799,110.8,123.8,21.1,28.5,49.3,,,,,,,,,,,,
1115,7.0,PW,Wedge,09/20/2024 04:18:03,74.6,10.9,33.1,3717,491,3749,93.4,103.9,23.6,22.0,46.9,,,,,,,,,,,,
1116,8.0,PW,Wedge,09/20/2024 04:18:41,88.7,2.6,27.0,8398,-137,8399,113.0,119.3,4.5,26.1,48.3,,,,,,,,,,,,
1117,9.0,PW,Wedge,09/20/2024 04:19:04,85.1,1.4,34.7,2943,-192,2949,116.0,128.5,0.4,30.8,50.3,,,,,,,,,,,,
1118,10.0,PW,Wedge,09/20/2024 04:19:48,80.1,-1.1,23.5,8840,-1029,8900,97.6,99.1,-6.0,17.5,41.7,,,,,,,,,,,,
1119,11.0,PW,Wedge,09/20/2024 04:20:16,80.6,3.9,37.6,2766,212,2774,105.9,111.2,9.9,30.2,51.6,,,,,,,,,,,,
1120,12.0,PW,Wedge,09/20/2024 04:20:58,87.6,2.2,32.9,2980,-343,3000,121.8,134.3,-0.1,30.7,49.2,,,,,,,,,,,,
1121,13.0,PW,Wedge,09/20/2024 04:20:59,82.3,1.8,31.3,3729,-389,3749,109.0,114.0,-0.3,25.4,47.2,,,,,,,,,,,,
1122,14.0,PW,Wedge,09/20/2024 04:21:44,80.9,1.7,29.2,4070,-492,4100,105.5,110.9,-1.0,22.4,45.0,,,,,,,,,,,,
1123,15.0,PW,Wedge,09/20/2024 04:22:27,83.5,5.6,29.3,9354,616,9374,102.5,103.2,12.8,25.2,49.5,,,,,,,,,,,,
1124,16.0,PW,Wedge,09/20/2024 04:22:48,84.9,-0.4,35.0,2525,0,2525,117.6,130.7,-1.0,30.9,49.8,,,,,,,,,,,,
1125,17.0,PW,Wedge,09/20/2024 04:25:18,85.8,1.7,35.1,3149,-398,3174,115.9,120.6,-1.3,31.7,51.0,,,,,,,,,,,,
1126,18.0,PW,Wedge,09/20/2024 04:26:01,83.9,3.3,35.4,2567,-196,2574,115.2,120.6,4.2,30.6,50.1,,,,,,,,,,,,
1127,19.0,PW,Wedge,09/20/2024 04:26:22,83.5,-3.0,30.6,3763,-923,3875,110.8,115.4,-14.9,25.2,46.9,,,,,,,,,,,,
1128,20.0,PW,Wedge,09/20/2024 04:27:05,84.4,4.0,36.7,2276,326,2299,116.8,130.0,14.8,32.2,50.9,,,,,,,,,,,,
1129,21.0,PW,Wedge,09/20/2024 04:27:26,89.5,0.0,27.1,8296,-226,8299,114.3,115.8,-1.4,26.6,48.5,,,,,,,,,,,,
1130,22.0,PW,Wedge,09/20/2024 04:28:11,89.6,-0.7,23.9,9158,-553,9175,114.3,115.4,-4.3,23.4,45.9,,,,,,,,,,,,
1131,23.0,PW,Wedge,09/20/2024 04:28:33,75.7,8.0,37.5,3299,-71,3300,94.8,105.3,13.9,26.5,51.0,,,,,,,,,,,,
1132,24.0,PW,Wedge,09/20/2024 04:29:37,69.8,3.2,26.1,6545,617,6574,80.6,89.2,7.5,14.2,39.7,,,,,,,,,,,,
1133,25.0,PW,Wedge,09/20/2024 04:32:51,88.9,-2.0,30.0,3255,-891,3375,123.4,135.5,-17.5,28.0,47.0,,,,,,,,,,,,
1134,26.0,PW,Wedge,09/20/2024 04:33:12,77.6,3.2,29.4,4616,-558,4650,97.9,111.3,1.8,20.7,44.7,,,,,,,,,,,,
1135,27.0,PW,Wedge,09/20/2024 04:33:35,82.9,5.1,36.6,2824,-46,2824,110.9,115.7,9.7,31.0,51.3,,,,,,,,,,,,
1136,28.0,9i,Iron,09/20/2024 04:37:31,96.6,-0.1,29.1,4048,-648,4100,135.9,147.2,-9.8,32.9,49.3,,,,,,,,,,,,
1137,29.0,9i,Iron,09/20/2024 04:38:13,99.0,-1.0,23.8,8170,-1308,8274,130.7,137.7,-13.1,28.8,48.2,,,,,,,,,,,,
1138,30.0,9i,Iron,09/20/2024 04:38:14,90.4,5.2,32.2,4997,163,5000,119.6,123.7,12.8,32.4,51.4,,,,,,,,,,,,
1139,31.0,9i,Iron,09/20/2024 04:38:14,92.2,2.7,27.8,5343,-264,5350,124.2,129.4,3.5,28.6,48.1,,,,,,,,,,,,
1140,32.0,9i,Iron,09/20/2024 04:38:36,84.3,0.8,28.0,4960,-381,4975,110.4,123.1,-1.8,23.6,45.6,,,,,,,,,,,,
1141,33.0,9i,Iron,09/20/2024 04:39:19,91.8,0.6,28.7,3479,-382,3500,129.7,135.9,-3.9,28.9,46.9,,,,,,,,,,,,
1142,34.0,9i,Iron,09/20/2024 04:39:45,89.4,6.6,33.5,2974,48,2974,125.1,137.7,16.6,32.7,50.1,,,,,,,,,,,,
1143,35.0,9i,Iron,09/20/2024 04:40:06,95.7,1.6,25.8,8587,-801,8624,124.3,125.7,-1.9,29.4,49.4,,,,,,,,,,,,
1144,36.0,9i,Iron,09/20/2024 04:40:36,86.7,2.0,30.1,3720,-469,3749,118.0,125.6,-1.1,27.1,47.2,,,,,,,,,,,,
1145,37.0,9i,Iron,09/20/2024 04:42:12,84.8,3.7,33.1,2796,138,2799,117.0,125.6,10.1,28.8,48.4,,,,,,,,,,,,
1146,38.0,9i,Iron,09/20/2024 04:42:44,94.8,1.3,32.4,2572,113,2574,139.6,153.7,5.9,35.5,49.6,,,,,,,,,,,,
1147,39.0,9i,Iron,09/20/2024 04:42:54,91.7,-1.3,22.7,10171,-277,10175,116.8,117.7,-4.0,23.7,46.1,,,,,,,,,,,,
1148,40.0,9i,Iron,09/20/2024 04:43:43,72.8,2.2,28.2,4400,0,4400,88.8,100.0,3.8,16.9,41.6,,,,,,,,,,,,
1149,41.0,9i,Iron,09/20/2024 04:43:59,90.5,2.3,34.4,2423,-79,2424,130.4,137.0,4.0,34.5,50.3,,,,,,,,,,,,
1150,42.0,8i,Iron,09/20/2024 04:48:37,90.1,-0.5,22.6,6571,-613,6600,118.2,130.4,-6.3,21.5,42.8,,,,,,,,,,,,
1151,43.0,8i,Iron,09/20/2024 04:49:02,93.9,1.4,24.7,6086,-400,6099,126.3,131.7,-0.4,26.3,46.1,,,,,,,,,,,,
1152,44.0,8i,Iron,09/20/2024 04:49:24,100.0,2.3,15.1,7156,1883,7400,130.2,140.6,21.7,17.3,36.7,,,,,,,,,,,,
1153,45.0,8i,Iron,09/20/2024 04:49:45,82.6,2.5,24.3,4760,-365,4774,106.8,118.2,1.9,18.7,40.6,,,,,,,,,,,,
1154,46.0,8i,Iron,09/20/2024 04:50:06,90.7,1.0,21.8,8799,95,8800,116.6,124.2,2.7,21.7,43.7,,,,,,,,,,,,
1155,47.0,8i,Iron,09/20/2024 04:50:49,88.3,3.7,29.4,4202,634,4250,119.5,130.4,15.7,27.4,47.5,,,,,,,,,,,,
1156,48.0,8i,Iron,09/20/2024 04:51:37,99.5,-0.8,27.6,3667,-241,3675,144.5,157.8,-6.6,33.0,48.0,,,,,,,,,,,,
1157,49.0,8i,Iron,09/20/2024 04:51:58,98.3,-2.3,28.5,2799,45,2799,147.3,162.5,-5.6,32.9,47.1,,,,,,,,,,,,
1158,50.0,8i,Iron,09/20/2024 04:52:21,94.3,4.0,29.8,3546,156,3549,133.9,139.4,11.9,32.1,48.7,,,,,,,,,,,,
1159,51.0,8i,Iron,09/20/2024 04:53:05,97.2,-0.1,23.0,9174,50,9174,126.8,128.0,0.2,27.1,47.5,,,,,,,,,,,,
